timestamp,open,high,low,close,volume
2025-07-01T00:00:00Z,100,101,99,100,1000
2025-07-01T01:00:00Z,100,114,99.5,113,1600
2025-07-01T02:00:00Z,113,126,112,125,2100
2025-07-01T03:00:00Z,125,126,119,120,1200
2025-07-01T04:00:00Z,120,121,118,119,1000
2025-07-01T05:00:00Z,119,120,99,100,1800
2025-07-02T00:00:00Z,100,101,99,100,1000
2025-07-02T01:00:00Z,100,114,99.5,113,1700
2025-07-02T02:00:00Z,113,131,112,130,2300
2025-07-02T03:00:00Z,130,131,119,120,1500
2025-07-02T04:00:00Z,120,121,115,116,1300
2025-07-02T05:00:00Z,116,117,109,110,1600
